"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
5,12924,"v_cmp_gt_i32_e64 s[2:3], s4, v82",8,64,32,0,""
5,12932,"s_and_saveexec_b64 s[10:11], s[2:3]",8,32,0,128,""
5,12936,"s_cbranch_execz 19",8,32,0,32,""
5,12940,"v_bfe_u32 v83, v85, 16, 1",8,40,8,0,""
5,12948,"s_movk_i32 s2, 0x7fff",8,36,4,0,""
5,12952,"v_add3_u32 v83, v83, v85, s2",8,36,4,0,""
5,12960,"v_or_b32_e32 v84, 0x400000, v85",8,32,0,20,""
5,12968,"v_cmp_u_f32_e64 s[2:3], v85, v85",8,52,20,0,""
5,12976,"v_mul_lo_u32 v82, v82, s5",8,32,0,0,""
5,12984,"s_nop 0",8,32,32,0,""
5,12988,"v_cndmask_b32_e64 v84, v83, v84, s[2:3]",8,40,8,4,""
5,12996,"v_ashrrev_i32_e32 v83, 31, v82",8,32,0,0,""
5,13000,"v_lshl_add_u64 v[82:83], v[82:83], 1, v[98:99]",8,44,12,0,""
5,13008,"global_store_short_d16_hi v[82:83], v84, off",8,36,0,64,""
5,13016,"s_or_b64 exec, exec, s[10:11]",8,32,0,0,""
5,13020,"v_or_b32_e32 v82, 40, v132",8,32,0,0,""
5,13024,"v_cmp_gt_i32_e64 s[2:3], s4, v82",8,36,4,0,""
5,13032,"s_and_saveexec_b64 s[10:11], s[2:3]",8,32,0,128,""
5,13036,"s_cbranch_execz 19",8,32,0,32,""
5,13040,"v_bfe_u32 v83, v86, 16, 1",8,40,8,0,""
5,13048,"s_movk_i32 s2, 0x7fff",8,40,8,0,""
5,13052,"v_add3_u32 v83, v83, v86, s2",8,36,4,52,""
5,13060,"v_or_b32_e32 v84, 0x400000, v86",8,32,0,0,""
5,13068,"v_cmp_u_f32_e64 s[2:3], v86, v86",8,36,4,0,""
5,13076,"v_mul_lo_u32 v82, v82, s5",8,36,4,0,""
5,13084,"s_nop 0",8,32,32,0,""
5,13088,"v_cndmask_b32_e64 v84, v83, v84, s[2:3]",8,36,4,0,""
5,13096,"v_ashrrev_i32_e32 v83, 31, v82",8,32,0,0,""
5,13100,"v_lshl_add_u64 v[82:83], v[82:83], 1, v[98:99]",8,60,28,0,""
5,13108,"global_store_short_d16_hi v[82:83], v84, off",8,48,16,64,""
5,13116,"s_or_b64 exec, exec, s[10:11]",8,32,0,0,""
5,13120,"v_or_b32_e32 v82, 41, v132",8,32,0,0,""
5,13124,"v_cmp_gt_i32_e64 s[2:3], s4, v82",8,56,24,0,""
5,13132,"s_and_saveexec_b64 s[10:11], s[2:3]",8,32,0,128,""
5,13136,"s_cbranch_execz 19",8,32,0,32,""
5,13140,"v_bfe_u32 v83, v87, 16, 1",8,40,8,0,""
5,13148,"s_movk_i32 s2, 0x7fff",8,36,4,0,""
5,13152,"v_add3_u32 v83, v83, v87, s2",8,44,12,52,""
5,13160,"v_or_b32_e32 v84, 0x400000, v87",8,32,0,0,""
5,13168,"v_cmp_u_f32_e64 s[2:3], v87, v87",8,40,8,0,""
5,13176,"v_mul_lo_u32 v82, v82, s5",8,32,0,0,""
5,13184,"s_nop 0",8,36,36,0,""
5,13188,"v_cndmask_b32_e64 v84, v83, v84, s[2:3]",8,36,4,0,""
5,13196,"v_ashrrev_i32_e32 v83, 31, v82",8,32,0,0,""
5,13200,"v_lshl_add_u64 v[82:83], v[82:83], 1, v[98:99]",8,48,16,0,""
